Position,Overall,Pace,Shooting,Passing,Dribbling,Defending,Physicality
CAM,83,81,77,80,86,61,71
ST,83,65,86,83,81,44,82
CM,83,66,78,85,80,75,76
CDM,83,66,76,85,73,79,80
CM,83,73,79,82,83,73,67
LM,83,64,79,85,81,43,78
CB,83,75,54,68,70,85,79
LB,83,89,58,76,82,78,76
CAM,83,56,81,84,83,50,72
ST,83,87,81,77,82,50,84
CB,83,84,40,60,68,85,80
CDM,83,76,69,78,81,81,81
RB,83,67,65,85,78,81,72
LW,83,82,81,80,85,30,61
RM,83,85,80,81,82,46,62
CDM,83,80,62,77,83,81,76
LW,83,92,82,76,82,53,75
LW,83,87,77,75,88,57,66
ST,83,73,82,64,78,35,88
CAM,82,66,74,82,83,59,59
CM,82,76,72,76,82,81,89
CAM,82,87,74,75,85,62,62
ST,82,84,83,72,78,35,63
LM,82,72,81,79,83,53,77
RM,82,90,78,77,86,38,62
GK,82,81,80,78,83,39,79
CM,82,54,73,81,82,68,66
GK,82,83,79,74,87,42,80
ST,82,83,83,62,81,39,75
RW,82,79,80,76,84,38,74
ST,82,73,83,66,80,38,82
CB,82,60,37,63,65,83,83
RM,82,77,81,76,81,46,70
CDM,82,66,74,79,80,80,80
CB,82,64,42,65,65,84,78
CDM,82,75,63,75,78,79,78
CDM,82,77,78,74,76,82,86
GK,82,84,79,71,85,30,83
CB,82,61,39,68,65,83,80
GK,82,82,79,74,85,45,83
LM,82,72,77,79,85,69,79
CDM,82,65,76,83,82,75,77
ST,82,85,84,77,86,50,75
LB,82,75,60,80,80,78,76
RB,82,81,48,73,80,80,81
CB,82,76,67,74,74,84,77
CAM,82,78,71,81,85,67,74
CM,82,72,79,82,85,68,71
RB,82,85,63,77,80,79,79
CM,82,79,78,82,83,74,77
LB,82,95,66,77,84,72,76
RW,82,85,78,75,83,24,72
RB,82,83,67,73,76,79,80
CAM,82,85,74,78,85,31,56
CM,82,75,76,80,84,65,73
RB,82,83,66,73,74,78,88
ST,82,57,82,73,76,45,76
ST,82,66,85,67,77,40,72
CM,82,69,73,82,80,73,77
CB,82,73,37,68,71,82,79
CM,82,77,74,80,79,80,78
ST,82,83,80,75,88,39,77
CDM,82,46,67,83,80,73,71
GK,82,81,80,76,82,39,84
CB,82,70,41,77,70,83,79
ST,82,63,84,71,75,43,81
CDM,82,71,82,79,80,78,86
LB,82,81,61,77,79,78,74
GK,82,82,80,83,81,57,82
ST,82,73,81,68,79,29,72
CB,82,54,59,71,66,85,75
RM,82,80,83,78,84,43,66
LW,82,91,78,76,81,49,71
CB,82,64,60,72,65,83,83
CM,82,84,71,72,83,75,72
LB,82,63,78,85,88,76,56
GK,82,82,82,75,81,43,83
LW,82,88,77,80,83,64,69
CM,82,57,79,78,80,73,81
ST,82,70,84,73,81,47,69
CB,82,62,51,64,71,83,78
CDM,82,58,69,78,77,80,82
CDM,82,64,77,76,78,80,81
CAM,82,73,79,81,81,64,72
RB,82,80,57,75,78,77,77
ST,82,82,83,67,78,39,73
RB,82,78,72,83,82,82,82
CAM,82,73,77,81,83,63,60
RW,82,92,73,76,81,46,71
CDM,82,66,54,74,75,83,80
CDM,82,79,77,74,79,80,88
LB,82,77,54,74,78,82,79
ST,82,90,80,71,81,38,67
LM,82,85,76,81,81,70,80
RM,82,90,77,73,86,60,75
RM,82,75,77,80,83,57,80
ST,82,70,84,76,83,44,75
GK,82,82,79,75,83,46,81
GK,82,83,79,76,84,53,82
CM,82,72,69,80,81,75,75
