Position,Overall,Pace,Shooting,Passing,Dribbling,Defending,Physicality
CM,84,69,76,79,82,82,73
CB,84,75,67,75,75,86,81
ST,84,77,84,69,83,44,79
ST,84,84,85,70,84,26,64
GK,84,84,79,80,86,42,86
RM,84,94,82,78,83,43,83
CB,84,68,46,59,66,85,81
CM,84,76,84,81,82,75,79
CDM,84,80,78,80,86,76,75
CAM,84,81,79,78,86,51,65
CDM,84,38,74,77,69,82,82
GK,84,84,80,79,87,52,84
CAM,84,72,82,85,88,44,74
CB,84,73,54,68,61,86,81
ST,84,78,84,69,79,29,83
RB,84,89,64,77,78,79,81
CAM,84,72,83,84,84,73,69
RB,84,73,35,77,78,83,80
GK,84,84,77,78,85,46,85
LB,83,74,74,82,82,80,84
LW,83,91,83,74,84,37,76
CDM,83,54,77,76,73,83,83
LW,83,89,80,72,86,52,75
CDM,83,77,73,82,85,78,75
RW,83,79,81,78,85,36,70
ST,83,80,84,71,82,36,76
LM,83,83,85,77,83,34,71
CM,83,80,67,81,84,78,80
LB,83,89,74,77,80,78,73
RB,83,81,51,78,77,81,79
LW,83,88,81,80,85,59,67
LB,83,85,66,80,78,78,76
CB,83,67,32,68,71,85,76
GK,83,81,80,75,89,53,82
CM,83,79,80,82,82,75,69
CB,83,62,41,65,69,85,75
RM,83,76,80,85,88,48,66
RM,83,95,75,74,86,43,53
ST,83,92,83,78,85,59,69
CM,83,61,68,82,79,80,82
ST,83,82,82,63,77,36,80
CB,83,63,46,72,66,85,81
CAM,83,93,77,77,86,50,54
CM,83,75,81,80,82,74,72
CAM,83,83,84,73,82,26,77
ST,83,82,83,78,83,48,75
LM,83,73,82,82,82,62,79
CB,83,60,38,53,53,86,82
CB,83,71,46,58,61,85,82
ST,83,45,84,74,75,42,81
CM,83,70,80,80,81,80,85
LB,83,79,69,74,78,83,83
RB,83,82,61,77,84,80,69
ST,83,77,81,80,82,49,72
CB,83,74,54,72,71,84,78
ST,83,68,83,71,76,40,75
CB,83,76,33,57,63,85,83
GK,83,84,82,70,84,41,83
CB,83,75,34,59,68,83,84
CM,83,66,78,83,78,75,78
CM,83,69,67,82,87,71,70
CM,83,51,70,77,80,85,78
LW,83,91,82,73,85,42,87
CDM,83,80,69,77,77,82,78
CB,83,55,50,74,70,85,76
CB,83,62,26,54,60,84,79
CB,83,72,43,63,68,83,80
RM,83,89,79,78,80,79,81
CDM,83,64,70,80,78,79,80
RM,83,89,81,74,85,35,72
LW,83,73,83,82,87,44,71
LW,83,89,78,75,85,46,72
CM,83,78,79,82,84,72,77
ST,83,82,81,73,80,31,79
ST,83,77,85,77,81,46,72
GK,83,85,81,83,82,46,87
CM,83,79,80,81,85,66,73
LB,83,79,56,77,79,82,74
LB,83,76,70,77,77,85,83
GK,83,83,75,87,86,61,79
CB,83,58,36,56,56,85,78
CM,83,76,66,78,85,68,70
CM,83,52,80,88,78,74,69
CAM,83,79,78,83,83,74,78
LW,83,78,82,84,84,63,68
GK,83,82,79,76,86,47,82
GK,83,83,78,88,87,53,80
LW,83,73,83,82,84,45,69
GK,83,82,82,75,85,49,82
RB,83,82,73,80,81,78,77
GK,83,84,79,80,85,42,84
RW,83,88,82,78,86,37,63
ST,83,90,83,75,85,33,86
GK,83,82,81,86,82,57,81
CDM,83,69,72,84,79,77,78
CDM,83,51,58,72,70,85,80
CB,83,64,40,56,69,85,79
CAM,83,80,80,79,84,38,70
ST,83,90,79,77,83,45,78
GK,83,82,81,82,84,38,85
