Position,Overall,Pace,Shooting,Passing,Dribbling,Defending,Physicality
LM,80,81,78,73,84,43,54
RB,80,78,57,70,76,79,71
CB,80,79,59,72,75,81,80
CM,80,74,83,80,83,55,72
GK,80,80,79,72,83,45,78
RW,80,88,74,74,83,36,61
RB,80,88,69,76,78,73,69
CM,80,58,74,80,81,71,64
CM,80,73,74,80,80,68,76
CB,80,46,47,61,63,84,72
CB,80,75,32,57,62,80,85
CB,80,68,50,65,65,84,76
ST,80,76,78,65,78,37,80
RB,80,79,64,74,75,77,78
GK,80,82,78,78,82,56,82
CB,80,58,63,70,63,81,81
LW,80,92,72,73,86,30,68
CM,80,72,68,75,79,77,80
CM,80,66,69,76,81,76,71
LW,80,86,76,76,79,45,70
CDM,80,60,68,71,78,79,76
LB,80,78,57,75,79,77,75
GK,80,83,79,75,84,27,76
CM,80,82,68,77,80,68,69
LW,80,80,78,77,84,40,67
ST,80,91,80,70,81,34,75
RM,80,72,76,80,83,32,51
CM,80,76,77,76,79,68,66
CM,80,82,77,77,82,68,51
CM,80,71,77,76,78,73,86
RB,80,71,46,71,72,81,77
ST,80,85,79,74,79,32,76
LB,80,79,56,74,79,77,72
GK,80,81,75,77,82,51,80
CAM,80,73,78,78,82,53,60
CM,80,68,70,80,77,75,78
RB,80,73,50,70,70,81,77
LM,80,83,81,76,80,70,76
CB,80,82,28,71,72,80,79
RW,80,85,76,73,83,45,62
CDM,80,66,68,71,69,80,85
CAM,80,55,74,83,83,55,69
LM,80,69,77,82,81,43,64
CB,80,54,73,78,70,79,85
ST,80,87,79,70,83,37,72
CM,80,72,71,78,79,75,81
ST,80,80,80,68,77,52,70
RB,80,88,49,75,78,73,75
LB,80,81,64,76,80,75,72
CM,80,66,72,79,81,72,69
GK,80,80,78,73,80,43,78
CB,80,50,63,70,70,80,84
CDM,80,64,72,81,76,75,78
RB,80,77,62,75,73,78,74
CDM,80,65,66,76,74,75,83
CDM,80,50,73,76,74,77,80
CB,80,85,32,45,60,81,82
CDM,80,64,65,75,76,77,68
RM,80,81,74,76,81,42,75
RB,80,81,64,70,80,79,72
GK,80,78,79,81,80,31,80
CB,80,74,46,67,73,82,74
RM,80,94,80,71,80,37,69
GK,80,79,76,77,83,28,81
CDM,80,59,57,72,70,78,78
CB,80,76,46,67,71,83,74
CDM,80,69,71,78,81,75,81
CM,80,81,77,81,83,67,64
GK,80,80,76,71,83,56,80
CAM,80,69,74,81,83,68,71
CB,80,45,60,71,66,82,75
GK,80,78,78,73,83,40,79
CB,80,37,57,70,65,80,82
LB,80,84,55,68,75,78,79
CAM,80,75,75,79,81,68,63
ST,80,78,81,70,75,51,87
CDM,80,35,67,76,76,78,78
RW,80,84,80,74,80,49,76
CB,80,73,36,69,72,80,79
LB,80,80,55,74,71,79,76
LW,80,84,70,76,80,51,64
CB,80,71,56,71,65,81,79
GK,80,78,77,75,81,34,79
CAM,80,68,78,81,81,43,50
RB,80,84,66,72,76,75,82
ST,80,53,82,63,73,29,82
LM,80,68,76,80,82,64,68
RB,80,81,68,79,80,76,55
LM,80,86,75,75,86,43,64
GK,80,81,76,81,82,48,78
RB,80,83,56,72,75,78,73
CDM,80,82,70,72,78,78,79
CM,80,69,78,77,81,67,77
ST,80,75,82,67,78,44,82
RW,80,80,78,78,83,42,54
RW,80,89,76,76,79,42,73
CM,80,48,79,83,77,74,70
CM,80,89,75,77,84,56,75
RM,80,89,78,77,79,55,54
CB,80,69,51,58,61,82,78
