Position,Overall,Pace,Shooting,Passing,Dribbling,Defending,Physicality
CB,77,35,55,65,62,78,82
ST,77,70,77,66,76,46,67
GK,77,75,74,72,80,41,76
CB,77,63,36,59,65,78,83
CB,77,76,36,63,66,78,76
ST,77,74,78,69,72,52,66
CM,77,45,74,74,65,76,81
GK,77,80,69,70,81,50,79
ST,77,84,79,67,79,31,67
CDM,77,52,55,67,69,76,75
ST,77,59,76,61,68,58,86
RB,77,79,63,73,81,70,71
CM,77,77,72,73,80,72,69
RM,77,80,69,71,81,49,70
CB,77,65,52,67,65,78,78
CDM,77,74,60,71,72,74,77
CB,77,63,37,62,61,78,76
CB,77,55,34,60,51,77,80
LM,77,85,64,74,79,64,59
CDM,76,60,49,66,69,74,79
CM,76,65,64,76,73,67,71
RM,76,88,70,69,80,30,52
RB,76,90,69,70,74,69,81
CM,76,66,67,74,75,74,74
CB,76,64,56,63,70,74,82
RM,76,74,68,75,80,48,59
ST,76,77,75,59,71,32,74
CDM,76,70,70,74,79,72,77
CDM,76,66,66,75,73,72,73
GK,76,76,72,72,76,45,75
CM,76,70,70,71,75,73,71
ST,76,75,76,60,69,32,79
CDM,76,60,70,71,72,73,75
ST,76,61,79,64,75,32,62
CB,76,68,42,59,66,76,71
CAM,76,78,72,73,79,41,50
CAM,76,82,75,73,81,44,65
CAM,76,71,77,77,78,58,53
CM,76,72,63,69,79,73,64
CM,76,76,68,72,75,69,63
LW,76,84,73,68,76,31,64
CB,76,57,41,54,58,78,72
CB,76,70,53,60,57,75,86
CB,76,82,44,62,67,74,86
GK,76,77,73,74,78,43,74
RM,76,72,74,74,77,36,79
CAM,76,76,70,77,81,59,67
GK,76,78,73,72,79,30,76
CB,76,44,41,55,54,77,78
ST,76,85,74,68,78,34,65
ST,76,93,74,70,78,35,69
RB,76,86,32,65,73,69,72
RB,76,80,51,69,76,72,64
CAM,76,77,69,73,79,58,72
CDM,76,73,64,74,73,70,78
CM,76,53,65,73,71,75,85
CB,76,72,34,63,70,76,75
RB,76,63,48,68,69,76,64
RM,76,84,70,70,77,37,67
ST,76,73,76,63,75,24,65
ST,76,80,71,70,80,46,69
ST,76,77,76,66,71,41,82
CM,76,75,65,73,77,74,74
CM,76,70,69,71,74,70,69
ST,76,69,75,64,78,49,81
LM,76,82,69,70,76,72,72
CAM,76,75,72,75,81,38,54
CB,76,35,34,53,51,78,80
ST,76,75,75,67,78,43,76
GK,76,77,68,81,79,30,75
CAM,76,68,71,76,80,40,50
CM,76,61,63,72,76,75,75
LM,76,85,72,72,77,30,55
RW,76,77,76,70,76,37,66
RB,76,74,49,66,67,74,66
RB,76,76,56,70,73,74,60
CDM,76,70,62,69,63,75,73
LM,76,88,67,72,78,55,52
LB,76,73,51,62,74,76,75
CDM,76,54,54,71,71,70,72
CM,76,76,70,75,77,71,78
RM,76,88,70,66,81,64,58
CB,76,48,42,65,66,79,67
CDM,76,70,50,65,69,74,85
CDM,76,60,61,75,73,72,70
ST,76,75,76,68,71,44,78
LW,76,82,74,70,80,41,73
CM,76,64,67,75,80,65,67
CB,76,58,58,72,72,77,72
LB,76,80,54,75,73,70,73
LB,76,76,72,79,77,68,70
CB,76,65,48,55,55,77,74
RB,76,65,46,70,74,76,67
CDM,76,73,66,72,75,75,67
CB,76,62,31,51,53,77,78
CB,76,66,53,71,72,76,76
CB,76,56,51,62,63,77,73
CDM,76,64,69,71,70,78,76
CB,76,72,39,47,60,77,80
ST,76,75,77,54,72,29,83
