Position,Overall,Pace,Shooting,Passing,Dribbling,Defending,Physicality
ST,75,77,75,59,74,25,68
CB,75,57,33,54,57,77,70
RM,75,80,72,75,73,56,65
ST,75,77,76,66,73,35,68
CDM,75,66,61,74,74,70,69
RW,75,71,73,71,78,57,74
RB,75,59,53,73,69,77,77
CDM,75,61,64,66,68,71,76
CM,75,77,72,71,75,55,56
CAM,75,68,73,73,77,64,64
ST,75,77,74,66,72,36,62
RM,75,85,68,70,78,30,62
LM,75,82,69,71,76,53,65
ST,75,71,73,57,72,39,78
RM,75,76,67,69,76,35,59
GK,75,71,80,78,65,35,81
LW,75,78,72,69,78,24,46
CB,75,67,68,74,75,74,74
CM,75,81,63,73,79,69,72
CDM,75,68,65,66,73,73,79
ST,75,72,76,68,76,46,77
ST,75,72,74,73,76,63,68
CAM,75,79,70,74,78,67,65
LB,75,70,64,76,80,75,53
CB,75,59,59,65,61,75,77
GK,75,74,70,71,77,45,78
CAM,75,75,69,71,75,63,64
LW,75,72,75,72,76,46,71
RB,75,82,59,66,73,70,72
GK,75,72,72,78,77,44,79
LM,75,84,76,68,73,48,76
GK,75,75,72,71,75,44,73
LM,75,90,66,62,82,26,55
CDM,75,54,37,70,62,76,77
CM,75,52,72,78,75,63,65
CB,75,59,39,57,59,74,78
LM,75,81,69,70,81,42,62
LB,75,81,43,64,68,73,74
CDM,75,66,67,62,69,75,76
ST,75,73,75,63,75,32,79
CB,75,67,40,65,64,77,70
CB,75,68,32,51,63,76,76
RM,75,75,69,73,73,72,71
RB,75,56,75,78,79,75,68
CM,75,53,74,81,78,61,56
GK,75,75,74,73,75,38,77
RB,75,71,59,69,70,73,76
LM,75,87,72,67,78,41,69
ST,75,76,75,70,74,33,63
LM,75,84,72,70,79,40,62
CAM,75,84,74,70,76,46,64
ST,75,75,75,70,71,43,71
CAM,75,68,67,74,84,21,61
CDM,75,64,57,73,75,71,68
LM,75,83,72,68,76,40,60
CB,75,85,56,58,60,76,78
ST,75,57,76,60,71,25,66
CB,75,61,30,55,62,76,76
CDM,75,74,70,75,72,70,77
CM,75,57,69,68,73,76,74
GK,75,76,73,70,75,40,77
CDM,75,75,74,74,74,69,70
LM,75,85,75,70,76,67,70
CB,75,84,38,66,67,75,81
ST,75,77,73,66,72,25,77
CB,75,59,56,66,68,77,72
CB,75,31,46,62,60,76,79
CB,75,68,29,41,58,75,79
GK,75,76,73,74,77,45,72
CB,75,50,49,52,62,76,81
RB,75,53,53,72,73,77,77
RM,75,74,72,72,76,60,63
CB,75,59,52,52,57,76,81
CDM,75,65,69,74,74,72,73
RB,75,81,54,63,69,72,77
ST,75,71,74,62,71,30,80
CM,75,53,69,75,70,76,78
GK,75,75,72,72,76,36,73
LW,75,80,69,73,77,52,70
RM,75,85,71,68,80,25,50
RM,75,89,69,66,78,50,67
GK,75,77,74,73,78,43,72
GK,75,74,72,77,77,38,74
GK,75,76,72,71,77,34,75
CDM,75,70,72,73,78,71,72
RW,75,82,74,71,76,53,69
CAM,75,57,78,72,74,77,82
CM,75,64,63,66,74,73,73
CDM,75,64,53,71,73,71,75
CB,75,54,51,63,64,77,75
GK,75,77,71,70,77,37,72
CB,75,73,37,53,65,75,75
CB,75,57,36,49,60,76,78
ST,75,73,75,67,76,45,69
CDM,75,63,60,69,71,72,74
CAM,75,65,71,76,74,33,50
CM,75,63,61,70,74,66,71
CB,75,86,50,53,63,75,80
LM,75,78,74,73,76,42,68
RM,75,84,70,69,75,43,66
