Position,Overall,Pace,Shooting,Passing,Dribbling,Defending,Physicality
GK,78,77,76,74,79,47,76
GK,78,76,73,80,82,34,80
RB,78,73,38,61,64,79,72
RB,78,79,50,73,72,78,70
CDM,78,68,61,78,78,75,71
CM,78,68,72,76,80,76,75
ST,78,48,79,72,77,37,78
CB,78,73,41,59,61,79,73
CB,78,71,48,69,64,79,78
RM,78,75,76,74,76,60,83
LM,78,81,78,72,77,47,81
RW,78,82,74,74,81,57,62
CB,78,52,51,61,56,78,82
ST,77,70,79,71,77,36,78
CDM,77,77,50,68,72,77,74
CDM,77,70,69,80,77,71,70
CB,77,63,47,55,60,76,83
GK,77,78,75,73,75,32,79
RB,77,71,53,70,75,73,76
LM,77,86,72,71,78,35,56
CM,77,72,69,73,78,69,73
CB,77,63,61,62,69,78,78
LM,77,89,76,77,74,50,57
GK,77,77,75,72,79,55,72
CB,77,63,49,66,62,78,76
GK,77,74,76,68,80,46,79
CB,77,55,45,56,63,77,77
CAM,77,68,80,76,77,59,76
RB,77,82,72,73,81,71,76
RB,77,81,51,70,74,72,71
ST,77,84,77,62,77,23,69
LM,77,83,73,73,79,39,67
ST,77,92,75,60,72,33,71
LW,77,85,73,72,79,32,66
ST,77,78,78,64,75,36,79
CAM,77,75,72,73,82,54,57
LB,77,84,66,68,64,77,78
LB,77,76,54,69,73,76,75
RW,77,76,73,77,81,54,67
CB,77,49,55,60,62,78,76
GK,77,80,75,77,77,48,74
CM,77,50,77,73,73,72,80
CB,77,75,54,63,70,76,83
RM,77,73,77,76,79,58,64
GK,77,77,75,70,80,43,76
LW,77,85,70,72,82,39,64
CB,77,34,36,60,58,77,78
GK,77,79,72,74,80,47,77
LW,77,78,70,76,76,26,51
CB,77,50,31,56,56,78,78
CB,77,73,56,71,68,78,75
GK,77,76,76,78,78,49,77
GK,77,78,75,74,77,52,76
CAM,77,74,71,74,78,68,56
GK,77,78,76,74,73,54,80
ST,77,75,74,63,73,39,76
RB,77,78,61,76,77,72,66
CAM,77,77,74,76,80,36,49
RW,77,79,71,75,79,29,62
CB,77,80,33,59,70,75,84
CM,77,80,73,74,80,75,81
RB,77,83,56,71,77,72,66
CB,77,74,53,66,68,77,77
RB,77,72,57,71,73,74,72
CM,77,69,67,76,82,66,65
CDM,77,68,71,77,78,73,71
ST,77,52,80,68,71,51,71
GK,77,76,77,78,75,25,78
ST,77,77,76,71,76,53,77
CB,77,51,29,44,56,78,83
CAM,77,75,70,77,77,68,73
CB,77,48,46,54,60,78,76
RM,77,80,76,70,78,46,73
GK,77,76,76,73,76,54,77
RM,77,81,72,77,77,53,58
CB,77,69,40,68,68,77,77
CDM,77,60,62,75,77,73,68
RB,77,85,59,73,78,71,70
CM,77,66,67,74,76,62,69
CB,77,55,37,55,47,78,74
CAM,77,72,73,77,80,66,70
ST,77,83,78,68,80,43,73
ST,77,72,77,65,72,30,67
ST,77,83,75,74,80,44,67
CB,77,34,47,62,54,79,75
RB,77,81,61,69,77,70,71
RM,77,83,71,72,78,41,64
RB,77,77,62,74,77,72,71
ST,77,74,76,76,78,40,72
RM,77,89,77,71,76,29,66
LB,77,81,35,71,68,73,72
CB,77,75,41,63,70,76,77
RM,77,90,70,71,80,50,59
CB,77,73,57,70,71,76,79
CDM,77,67,55,68,72,75,72
CB,77,57,37,53,55,77,80
GK,77,77,75,73,78,45,75
CB,77,68,42,67,68,77,77
CDM,77,69,65,72,76,72,77
CM,77,66,66,71,74,78,82
