Position,Overall,Pace,Shooting,Passing,Dribbling,Defending,Physicality
ST,78,74,75,68,75,36,77
CM,78,63,73,71,73,79,82
ST,78,59,79,52,74,35,77
RM,78,69,74,80,82,66,66
GK,78,82,75,60,82,46,73
CB,78,42,36,67,63,77,84
RB,78,80,56,69,78,74,73
CB,78,69,65,70,72,78,77
CM,78,75,62,75,79,75,73
LM,78,84,66,71,84,33,49
CB,78,67,50,67,67,78,78
CAM,78,76,76,78,78,65,70
CM,78,69,77,74,76,68,64
CB,78,72,43,61,67,78,82
RB,78,65,56,72,73,77,80
CB,78,64,48,56,63,79,74
CM,78,62,76,79,79,69,75
CM,78,67,71,77,78,69,77
GK,78,77,72,74,82,27,77
CB,78,80,26,53,73,77,83
CB,78,65,39,59,48,80,79
GK,78,76,77,78,78,37,79
RM,78,78,64,74,83,40,60
CB,78,58,42,59,65,78,80
LB,78,77,62,75,78,75,61
ST,78,79,79,70,75,40,70
CDM,78,78,57,76,79,75,72
CAM,78,77,76,78,80,60,68
RB,78,78,56,70,73,73,72
ST,78,80,80,61,74,46,70
CDM,78,65,55,74,73,70,75
CAM,78,74,71,77,81,53,50
CM,78,50,74,83,76,53,50
LB,78,87,63,68,73,75,82
GK,78,81,73,80,81,35,75
CM,78,69,72,77,78,70,63
RM,78,87,67,71,83,36,50
CM,78,83,71,72,85,67,58
CDM,78,69,73,75,77,72,84
CB,78,67,40,60,65,80,75
ST,78,79,76,71,78,54,69
RB,78,90,72,75,76,70,73
LM,78,86,75,72,78,52,71
ST,78,89,77,71,81,35,82
CB,78,62,44,70,70,80,71
RM,78,76,76,79,78,45,52
LB,78,89,49,69,77,71,69
CB,78,75,37,51,61,80,76
LW,78,84,67,77,82,51,54
CDM,78,36,63,72,71,79,69
GK,78,80,73,75,81,32,79
CDM,78,70,65,72,74,76,75
CM,78,65,72,81,79,68,71
LB,78,76,64,73,78,73,75
CM,78,75,72,77,80,67,70
LM,78,77,80,75,79,45,71
CB,78,69,29,63,69,78,79
CM,78,71,76,77,81,68,73
ST,78,53,79,70,70,42,76
GK,78,78,77,78,78,48,77
CAM,78,72,73,80,82,52,50
LB,78,78,58,70,71,74,82
ST,78,61,79,70,75,31,79
GK,78,76,77,76,77,60,78
LW,78,80,74,77,78,57,72
LW,78,80,74,73,81,40,59
GK,78,75,77,72,80,39,78
ST,78,83,77,73,78,42,77
CM,78,63,74,74,74,75,81
CM,78,59,71,78,78,79,74
GK,78,78,77,75,78,47,76
CB,78,70,37,49,56,78,78
CAM,78,74,77,80,78,66,69
ST,78,79,76,70,76,46,73
ST,78,85,77,59,74,33,84
LW,78,73,78,74,78,49,74
ST,78,84,77,70,78,39,74
ST,78,62,80,66,74,40,77
LW,78,79,77,79,81,36,44
RM,78,87,69,74,79,58,68
LM,78,78,77,71,80,31,62
RM,78,89,74,72,78,43,59
GK,78,79,79,69,80,41,76
CM,78,54,75,78,75,69,75
CB,78,78,50,68,69,79,74
CM,78,52,66,79,81,64,59
RB,78,81,63,74,76,73,80
ST,78,84,76,58,76,40,75
GK,78,78,77,74,80,39,78
RW,78,76,71,77,80,46,72
RW,78,84,70,74,78,62,73
CB,78,78,52,70,74,78,78
ST,78,77,78,64,70,25,83
RW,78,70,79,76,79,40,79
LW,78,80,76,75,80,35,61
RB,78,68,55,71,70,77,68
ST,78,80,77,72,78,37,68
CB,78,52,51,73,72,80,74
RB,78,77,52,70,75,77,73
RB,78,83,50,70,79,74,73
