Position,Overall,Pace,Shooting,Passing,Dribbling,Defending,Physicality
CB,77,67,37,57,58,77,85
LB,77,82,54,75,71,71,67
RW,77,78,78,74,77,42,65
CAM,77,82,78,73,76,32,72
ST,77,63,78,77,75,35,66
RM,77,88,66,76,77,41,65
ST,77,78,77,70,74,51,80
LB,77,63,70,81,81,73,66
RW,77,81,71,73,80,46,58
GK,77,77,78,68,76,49,77
RM,77,71,73,76,80,62,65
CAM,77,89,75,72,81,30,53
GK,77,77,74,68,80,56,76
CAM,77,64,74,77,79,67,68
RM,77,83,72,69,76,44,74
CAM,77,71,72,78,78,51,53
CAM,77,78,75,70,79,47,62
ST,77,84,78,67,75,49,65
CB,77,63,53,69,71,78,72
CB,77,48,35,52,58,79,75
CM,77,74,72,74,78,66,61
ST,77,83,79,71,81,37,68
ST,77,75,77,68,76,23,69
CB,77,62,38,62,60,77,81
RW,77,85,67,72,79,20,56
CAM,77,76,70,75,79,72,69
ST,77,79,76,58,70,25,85
CDM,77,66,63,73,75,72,80
CAM,77,81,75,73,77,48,60
GK,77,75,75,66,83,39,76
GK,77,74,76,75,77,56,78
LM,77,80,53,77,74,72,77
RB,77,76,63,71,75,74,75
LW,77,71,74,78,82,53,66
LB,77,87,41,62,75,75,71
CM,77,73,75,75,79,70,63
CM,77,62,73,75,75,73,77
CDM,77,67,62,67,71,75,77
ST,77,72,77,51,72,37,69
ST,77,72,76,68,77,57,68
GK,77,77,76,69,80,50,72
CB,77,55,41,65,63,80,75
LM,77,82,72,73,80,48,60
CB,77,66,45,60,62,79,72
RW,77,89,67,72,83,35,58
CM,77,68,72,77,78,68,69
CM,77,41,69,76,75,75,67
ST,77,75,76,60,76,25,74
RM,77,75,65,72,80,56,75
ST,77,69,76,69,72,48,88
CDM,77,67,66,71,75,74,67
CM,77,67,64,79,75,69,74
GK,77,75,76,77,77,41,78
RW,77,86,72,73,82,66,68
ST,77,77,77,67,79,28,62
ST,77,51,75,68,71,46,68
ST,77,80,76,60,78,29,67
GK,77,76,74,77,78,43,76
LB,77,83,55,70,75,70,75
CB,77,61,42,66,64,77,78
ST,77,67,79,56,68,39,87
CAM,77,88,75,73,81,38,65
ST,77,83,74,71,77,39,65
CB,77,67,67,67,69,74,85
LB,77,73,56,72,73,74,79
ST,77,78,72,63,78,29,69
CAM,77,73,76,77,74,48,75
CM,77,63,57,78,80,62,57
GK,77,76,75,77,76,41,75
CB,77,48,57,64,65,77,70
RB,77,82,62,70,73,73,75
RW,77,81,76,68,79,35,65
CM,77,74,74,77,77,66,70
CB,77,64,40,63,67,78,76
CB,77,80,63,71,77,79,68
LB,77,75,51,64,73,75,70
LB,77,79,67,75,76,72,73
CB,77,68,38,65,67,76,74
GK,77,75,75,77,77,36,78
CM,77,64,71,73,78,66,68
ST,77,90,75,70,77,40,67
CB,77,66,37,62,61,78,78
RB,77,77,58,72,70,76,75
CB,77,64,48,59,63,79,73
CM,77,73,70,76,78,67,71
CM,77,77,70,77,80,71,78
LM,77,86,76,72,82,38,67
GK,77,76,70,75,78,48,77
CDM,77,74,66,74,81,73,72
GK,77,77,74,71,78,31,75
CM,77,67,79,79,77,63,79
CDM,77,46,66,75,75,74,74
CB,77,33,42,58,53,78,78
CM,77,84,71,75,80,71,72
ST,77,81,73,69,79,44,73
CB,77,56,56,69,70,76,78
RM,77,82,70,72,82,43,72
RB,77,70,51,70,72,77,82
LM,77,68,73,77,78,55,68
ST,77,81,78,72,80,40,71
