Position,Overall,Pace,Shooting,Passing,Dribbling,Defending,Physicality
CAM,79,79,76,75,80,55,66
CM,79,69,77,80,77,67,76
GK,79,79,77,76,82,52,75
CM,79,77,66,76,83,63,73
LW,79,93,79,71,80,45,76
RW,79,84,70,71,83,41,58
CB,79,56,38,65,60,80,80
RM,79,89,73,74,77,72,81
LM,79,78,73,76,82,58,65
GK,79,79,79,71,81,57,79
CM,79,68,70,77,78,72,71
ST,79,69,80,66,74,43,75
GK,79,79,78,73,81,41,77
CB,79,67,36,56,61,81,83
LM,79,76,73,76,79,38,46
RM,79,82,73,72,79,40,57
LM,79,85,77,73,78,38,66
ST,79,76,77,64,77,47,81
LB,79,88,46,71,77,74,77
CDM,79,50,76,77,79,73,84
CB,79,72,46,69,67,80,79
CAM,79,81,72,81,80,52,64
CDM,79,40,54,68,67,79,81
CDM,79,65,65,75,78,75,78
GK,79,79,79,69,81,47,78
GK,79,78,76,80,81,54,79
RB,79,75,63,70,76,76,80
LM,79,85,72,75,79,43,70
CDM,79,70,65,75,78,76,75
ST,79,65,81,67,74,36,74
CB,79,69,64,74,69,81,74
ST,79,85,78,63,77,46,78
RB,79,81,53,71,71,78,60
LB,79,80,56,77,80,74,68
CB,79,77,57,70,73,77,83
GK,79,79,76,68,83,51,78
ST,79,80,81,66,79,43,69
CDM,79,50,72,71,68,80,83
LM,79,88,65,74,79,76,69
LB,79,83,53,72,77,76,79
CAM,79,74,76,76,83,71,69
CB,79,80,37,64,69,79,80
GK,79,80,77,73,83,41,79
ST,79,82,80,75,79,36,72
LB,79,80,60,75,77,76,75
CB,79,78,47,67,76,80,78
CM,79,77,76,75,79,75,81
CB,79,61,52,58,64,81,79
LB,79,82,49,75,76,77,76
CB,79,63,56,76,70,82,74
GK,79,80,74,75,80,44,80
RM,79,82,78,76,81,47,63
CAM,79,75,76,76,82,58,72
RB,79,82,51,68,77,77,72
RW,79,84,78,74,79,42,71
CM,79,57,73,86,75,66,72
LW,79,83,78,77,78,45,77
CDM,79,54,64,76,75,74,73
LW,79,85,79,70,79,29,71
CB,79,66,54,67,75,80,77
CDM,79,80,67,72,76,78,84
LB,79,76,68,74,75,76,70
RM,79,85,71,76,82,25,62
LB,79,66,66,83,82,76,69
ST,79,73,77,72,83,37,73
LM,79,81,72,77,80,75,80
RB,78,92,46,67,72,71,77
ST,78,78,76,65,75,36,77
CB,78,72,35,63,63,78,78
ST,78,83,76,69,82,42,74
CB,78,75,27,47,50,77,88
CB,78,75,30,58,54,79,73
RW,78,87,75,73,80,57,65
CM,78,67,74,80,82,60,69
CDM,78,65,69,73,75,74,80
CM,78,74,66,75,77,68,67
ST,78,77,74,72,76,54,82
CDM,78,60,65,72,74,78,78
ST,78,75,79,71,77,36,74
CAM,78,73,72,76,79,51,69
CB,78,62,47,67,60,78,77
CM,78,69,77,79,79,65,73
RB,78,73,66,76,77,77,71
LB,78,78,52,69,74,75,76
CM,78,53,75,78,77,63,74
CB,78,68,61,71,72,78,75
CAM,78,75,75,74,80,62,80
ST,78,89,79,65,79,26,60
ST,78,69,77,58,75,38,80
CDM,78,58,56,77,75,76,66
LW,78,73,75,75,82,40,57
LB,78,75,70,70,75,78,77
CDM,78,52,72,77,79,71,75
ST,78,71,79,72,75,37,72
LM,78,78,72,79,76,60,64
RW,78,78,73,74,81,38,59
CB,78,77,40,71,65,79,78
CAM,78,74,81,77,81,30,69
CB,78,67,50,75,76,80,75
CB,78,69,37,65,69,79,75
