Position,Overall,Pace,Shooting,Passing,Dribbling,Defending,Physicality
GK,77,81,76,84,77,43,77
CM,77,68,72,77,74,75,73
CAM,77,75,69,74,81,61,57
ST,77,76,77,66,72,45,79
LB,77,75,41,62,73,76,69
ST,77,91,77,54,72,26,77
LB,77,88,65,73,72,72,70
LM,77,83,66,73,81,51,62
GK,77,75,73,69,83,42,75
ST,77,89,76,61,78,30,64
LM,77,87,70,72,81,53,61
CB,77,76,46,60,56,79,77
ST,77,77,76,59,80,34,67
CM,77,39,67,80,75,68,63
LM,77,92,72,72,80,38,63
GK,77,78,77,74,77,42,76
LB,77,75,51,65,61,76,69
LB,77,82,57,72,76,71,73
CB,77,74,53,68,69,77,77
RB,77,85,63,72,77,69,67
CB,77,81,48,60,64,76,83
LM,77,93,76,70,79,34,61
CM,77,80,69,71,80,75,81
ST,77,76,77,66,77,40,77
CDM,77,52,60,70,69,76,78
CB,77,54,50,57,58,78,79
CB,77,69,24,51,51,77,78
LB,77,71,50,68,71,75,73
ST,77,73,77,64,74,42,68
GK,77,77,74,78,80,53,80
CB,77,72,36,49,56,78,75
ST,77,72,74,78,78,40,76
CB,77,54,49,52,57,79,75
GK,77,80,73,68,79,47,78
CDM,77,58,65,73,73,75,74
CAM,77,81,74,72,81,65,66
CAM,77,83,76,75,78,63,67
ST,77,66,77,79,79,39,71
ST,77,72,71,67,74,56,80
LM,77,84,76,69,76,51,75
CB,77,42,59,72,76,78,83
CAM,77,62,76,79,81,41,54
CDM,77,74,70,71,72,78,81
CB,77,72,29,61,68,77,75
CDM,77,59,65,79,83,71,65
LB,77,82,58,73,77,73,67
GK,77,78,75,74,74,45,78
CM,77,72,66,78,79,67,63
CDM,77,73,55,72,78,73,68
CB,77,46,43,57,67,79,67
CDM,77,73,68,74,76,71,70
CB,77,70,69,79,76,79,74
ST,77,87,77,65,79,38,76
RB,77,78,54,65,74,74,71
ST,77,83,76,60,72,30,76
GK,77,78,74,75,80,44,77
RM,77,74,71,71,79,38,70
GK,77,80,77,71,77,47,74
ST,77,75,75,69,80,32,60
CDM,77,60,65,72,72,77,83
CDM,77,42,67,73,74,73,73
ST,77,76,77,53,74,26,67
CM,77,80,69,76,80,65,61
CAM,77,69,73,79,79,57,58
GK,77,77,74,75,81,47,74
CDM,77,73,62,73,74,74,75
GK,77,76,76,79,77,36,77
CM,77,68,71,73,79,73,76
ST,77,71,79,63,73,41,74
LM,77,88,71,69,82,52,51
CDM,77,61,47,68,71,75,70
LM,77,76,71,74,80,43,61
ST,77,73,75,75,73,50,81
RM,77,75,69,74,81,36,56
GK,77,76,74,75,77,44,80
CB,77,93,58,66,77,78,73
CM,77,73,68,74,72,77,80
CM,77,76,73,79,79,62,70
RB,77,73,44,65,69,78,74
ST,77,82,74,67,79,48,69
ST,77,72,78,61,73,33,73
CAM,77,71,69,78,78,54,66
CAM,77,57,71,81,77,64,62
CAM,77,78,73,74,80,58,69
RB,77,82,54,76,73,71,71
CB,77,80,32,61,71,77,77
CM,77,81,69,75,77,63,73
CM,77,67,74,75,75,70,70
GK,77,77,74,75,81,34,78
CB,77,74,57,68,69,78,70
ST,77,86,80,64,77,29,64
CB,77,71,40,55,59,78,80
CB,77,39,47,56,62,80,76
ST,77,77,78,61,77,39,72
CAM,77,80,68,72,80,62,72
CDM,77,44,63,69,68,75,75
CAM,77,64,75,77,80,70,77
LB,77,76,57,71,75,73,69
LB,77,80,57,74,75,73,78
LM,77,89,73,69,82,32,60
