Position,Overall,Pace,Shooting,Passing,Dribbling,Defending,Physicality
RW,78,88,75,71,80,41,58
CM,78,83,71,74,81,73,76
RM,78,90,72,72,82,38,67
RB,78,76,57,71,74,73,78
CM,78,62,73,80,83,60,71
CM,78,47,73,74,73,77,79
GK,78,75,77,74,79,49,77
RM,78,75,71,76,79,67,65
ST,78,77,79,72,80,51,81
CB,78,74,56,54,59,79,82
CAM,78,65,78,75,78,46,83
CM,78,76,73,77,78,79,80
CDM,78,55,78,71,73,75,84
CB,78,45,42,54,57,82,76
ST,78,71,78,64,76,32,79
GK,78,77,75,73,80,51,81
CM,78,64,67,75,78,73,70
CM,78,70,77,81,79,61,65
GK,78,80,72,73,82,53,76
ST,78,85,78,73,82,29,67
CB,78,54,33,56,56,79,79
CB,78,63,36,60,70,78,85
RW,78,83,77,70,79,23,72
CDM,78,65,65,73,74,75,80
CB,78,63,43,60,67,80,84
LB,78,80,60,76,75,74,73
CM,78,69,75,76,77,77,75
LB,78,83,52,71,71,75,71
ST,78,88,74,60,75,29,82
ST,78,88,77,72,83,31,73
LB,78,77,58,78,78,72,66
CDM,78,72,59,71,72,76,79
LB,78,78,65,74,73,75,76
CAM,78,67,69,78,80,62,69
CM,78,78,75,77,81,67,72
CB,78,79,32,58,61,79,79
LB,78,79,63,75,78,73,65
CM,78,62,64,83,78,71,77
LB,78,79,72,72,76,74,75
CAM,78,76,71,75,80,35,61
RM,78,87,76,74,81,36,64
CM,78,76,74,78,81,68,70
RB,78,74,59,76,80,72,73
RB,78,75,55,68,65,79,75
CM,78,74,75,79,79,69,75
CM,78,70,67,76,82,56,52
CDM,78,35,46,69,67,78,72
ST,78,88,78,70,78,36,83
LB,78,77,60,73,74,78,60
GK,78,77,76,74,81,25,79
RB,78,72,67,76,76,76,78
LM,78,78,75,73,80,68,74
CAM,78,79,77,68,82,27,56
CB,78,77,55,70,77,78,83
RB,78,92,50,70,77,72,71
GK,78,78,74,80,80,40,77
LB,78,73,55,78,73,77,77
RB,78,78,58,72,76,74,77
LM,78,78,75,75,81,49,52
CDM,78,61,65,75,74,72,73
CM,78,68,75,75,77,72,73
RB,78,77,54,74,77,77,69
GK,78,83,77,76,78,59,76
GK,78,79,75,70,81,46,77
ST,78,90,76,73,81,36,73
CM,78,77,63,76,77,75,73
GK,78,76,78,80,79,52,77
RW,78,81,73,75,77,47,76
LM,78,80,67,75,81,64,64
CB,78,58,36,51,57,79,80
ST,78,89,79,75,76,41,67
CB,78,55,35,57,61,80,73
GK,78,79,74,71,79,35,78
CB,78,57,42,70,72,79,77
CM,78,78,71,78,80,67,71
RM,78,86,78,73,79,39,70
CM,78,75,75,79,78,70,71
CM,78,79,69,75,77,75,78
CB,78,69,47,59,65,77,78
CB,78,56,52,69,65,79,79
CDM,78,58,57,78,78,73,69
GK,78,78,75,72,79,49,76
LB,78,76,56,70,75,76,79
RB,78,81,72,79,76,70,80
CM,78,67,78,79,77,72,76
RB,78,78,49,70,68,77,78
CB,78,73,47,69,72,77,78
CM,78,71,71,77,78,76,78
RB,78,69,33,67,72,80,80
CB,78,56,57,67,67,79,80
RW,78,78,77,72,83,39,59
GK,78,72,76,77,82,45,84
GK,78,77,78,74,78,50,75
CB,78,59,50,63,63,78,77
ST,78,67,80,68,77,40,80
CDM,78,67,62,74,73,74,78
CM,78,58,73,75,76,79,79
CAM,78,74,77,72,78,60,64
CB,78,58,61,71,67,80,79
RM,78,79,70,77,77,51,71
