Position,Overall,Pace,Shooting,Passing,Dribbling,Defending,Physicality
RM,81,81,77,79,78,48,62
CB,81,78,40,64,72,81,80
LM,81,81,77,78,79,54,72
RW,81,85,82,78,81,28,79
LB,81,88,65,75,85,75,76
CAM,81,79,73,80,83,54,63
CAM,81,78,76,79,83,42,65
CM,81,84,76,76,85,61,74
CB,81,74,43,67,69,81,82
CM,81,72,76,83,80,68,79
CB,81,76,48,71,76,83,78
CB,81,80,32,64,67,82,80
ST,81,71,83,79,84,33,73
RW,81,84,76,76,83,40,60
CM,81,84,79,78,79,73,78
CB,81,76,58,76,72,82,79
RW,81,79,76,74,82,57,70
ST,81,75,82,77,77,44,79
CDM,81,79,75,78,83,79,73
CM,81,81,76,79,82,77,83
GK,81,80,78,77,82,37,80
CM,81,71,81,85,84,65,72
CB,81,71,56,67,61,81,80
RB,81,78,66,77,83,77,71
CB,81,78,47,68,72,81,76
CM,81,71,80,82,81,65,73
GK,81,80,78,72,84,44,83
LB,81,65,42,68,70,83,80
ST,81,56,82,72,77,40,72
LM,81,84,73,75,85,57,65
GK,81,81,81,71,80,35,82
CM,81,75,77,81,83,67,64
ST,81,85,80,74,81,39,83
CM,81,69,72,76,78,81,76
RM,81,79,80,78,83,49,67
GK,81,79,77,86,84,52,81
CB,81,60,57,64,59,83,83
LB,81,80,51,75,78,78,77
RM,81,84,78,79,81,39,64
ST,81,79,79,80,82,46,69
GK,81,81,79,85,83,48,78
LM,81,89,83,76,82,33,64
LB,81,85,61,81,78,73,78
CB,81,73,68,79,80,82,77
RW,81,88,77,75,84,46,81
CB,81,63,35,57,57,83,79
CDM,81,72,70,74,78,75,79
CDM,81,65,59,72,76,80,72
CM,81,49,75,81,77,81,77
CB,81,64,33,60,73,82,80
LB,81,75,57,74,79,80,71
CDM,81,60,73,74,75,80,76
CB,81,57,45,60,65,83,80
ST,81,75,81,66,78,29,83
GK,81,81,79,73,82,43,80
LM,81,85,78,75,85,42,65
CDM,81,65,61,78,75,79,79
CAM,81,82,80,84,80,59,70
CM,81,44,79,83,79,69,70
CM,81,79,76,83,80,72,76
CDM,81,69,65,73,77,78,80
ST,81,67,82,75,80,33,78
GK,81,80,79,79,83,41,81
RB,81,81,74,80,81,74,69
CM,81,55,72,85,77,66,72
ST,81,81,80,61,80,25,63
CB,81,79,48,57,69,82,81
ST,81,78,82,67,79,42,75
CB,81,58,42,62,65,83,76
RW,81,82,75,76,82,23,48
LM,81,86,78,73,85,37,75
ST,81,71,83,73,81,50,82
CM,81,78,76,80,83,71,62
CDM,81,64,67,75,77,78,71
CM,80,74,78,77,81,72,72
LM,80,85,75,72,84,52,80
CDM,80,62,66,71,71,78,84
LB,80,82,70,80,81,72,69
CB,80,50,61,74,66,81,82
CB,80,52,57,72,66,79,84
CDM,80,61,64,73,75,78,83
CM,80,58,79,80,76,66,78
ST,80,70,79,78,79,44,78
CDM,80,63,79,79,77,76,76
RB,80,76,66,77,80,76,81
RM,80,81,76,78,78,54,72
ST,80,75,80,56,76,36,77
CAM,80,67,75,79,85,58,76
LW,80,88,74,75,81,34,64
LW,80,85,78,75,81,43,68
CAM,80,77,74,74,82,47,60
GK,80,79,78,72,82,37,79
CB,80,80,37,64,71,81,79
CDM,80,54,64,69,64,81,85
ST,80,81,81,68,80,42,81
CDM,80,71,67,75,81,78,77
CB,80,36,62,83,77,83,70
LW,80,85,81,74,79,38,79
RM,80,85,61,76,81,72,64
CB,80,65,45,69,65,82,76
