Position,Overall,Pace,Shooting,Passing,Dribbling,Defending,Physicality
CB,76,62,39,55,60,77,76
LB,76,75,62,71,74,74,80
RM,76,85,63,71,76,70,78
RM,76,91,75,68,75,31,59
LW,76,70,70,75,81,54,53
ST,76,73,78,66,71,30,68
LM,76,78,69,72,81,52,64
GK,76,76,74,78,78,38,75
LM,76,90,68,70,80,37,62
ST,76,84,75,61,77,25,67
CAM,76,71,60,78,81,37,56
RM,76,87,69,68,78,39,69
RB,76,84,68,73,76,73,61
CB,76,73,39,63,65,77,74
CB,76,80,42,61,64,76,75
RW,76,77,73,76,76,45,68
RW,76,83,71,69,75,43,66
CB,76,52,39,55,59,77,79
CDM,76,76,63,78,79,70,68
RW,76,84,73,74,78,44,64
CAM,76,78,79,76,75,44,64
LM,76,87,68,70,76,67,69
CM,76,49,70,78,71,67,63
ST,76,77,76,71,79,43,67
CDM,76,52,65,74,74,70,74
CB,76,73,44,62,68,75,80
CB,76,49,43,66,63,79,71
RB,76,70,76,80,79,75,56
CAM,76,73,76,74,75,71,82
LM,76,64,70,77,76,69,71
CM,76,78,60,66,76,73,77
CM,76,47,63,71,70,78,84
GK,76,76,75,70,76,45,74
CB,76,49,57,68,66,76,80
CM,76,69,70,74,75,70,77
LM,76,75,67,74,81,31,40
CB,76,75,53,67,72,78,68
LB,76,90,60,69,78,69,73
CB,76,49,65,67,66,77,75
CAM,76,83,70,71,82,36,48
GK,76,76,74,73,78,47,76
CB,76,79,47,65,66,76,76
CM,76,74,74,77,76,59,80
CB,76,65,52,64,61,76,79
CB,76,80,54,56,66,78,74
RB,76,74,46,70,72,74,67
CB,76,67,58,66,64,78,71
LW,76,85,73,69,80,38,58
CDM,76,60,60,66,71,78,68
LM,76,80,74,70,79,33,60
CB,76,60,66,74,72,76,80
CM,76,69,70,77,74,73,77
CB,76,69,38,57,63,76,79
CM,76,77,65,74,81,60,57
RM,76,79,71,70,78,49,69
CM,76,67,64,70,72,72,74
CM,76,70,74,73,80,64,67
LB,76,80,62,76,74,68,78
GK,76,76,74,78,79,50,75
CB,76,43,36,54,54,76,84
GK,76,76,74,72,76,59,75
CB,76,65,39,59,63,78,71
RW,76,82,67,75,74,44,56
RB,76,74,54,70,74,74,68
ST,76,75,76,72,76,31,77
CB,76,74,58,69,69,75,80
ST,76,77,75,66,72,41,60
RW,76,88,72,67,78,40,49
CB,76,73,45,59,70,77,73
LW,76,65,73,72,83,58,73
LB,76,83,66,76,80,69,56
CM,76,60,70,73,73,73,78
RW,76,76,69,77,80,30,56
GK,76,77,70,79,78,36,74
CB,76,65,39,54,59,78,67
CDM,76,37,56,71,70,73,72
RB,76,83,64,75,74,71,68
CB,76,63,37,59,66,74,81
RB,76,67,45,71,71,72,76
CAM,76,71,74,77,77,44,61
CM,76,64,63,77,75,68,73
RM,76,82,69,70,79,48,64
LW,76,77,74,71,80,35,55
CB,76,71,44,65,65,76,75
LW,76,89,69,72,81,42,69
CAM,76,79,68,74,80,65,66
LB,76,69,37,66,63,77,77
LM,76,74,73,73,76,45,63
RM,76,91,69,68,76,52,64
CM,76,72,72,73,81,69,75
GK,76,78,72,76,79,39,73
ST,76,79,72,68,77,40,70
GK,76,74,77,78,76,30,78
RB,76,69,65,67,71,75,77
CB,76,88,41,55,67,76,77
GK,76,75,71,69,81,47,76
RB,76,77,62,72,72,73,73
CB,76,64,33,65,61,78,71
CDM,76,67,63,71,75,71,65
LM,76,77,76,73,75,35,66
