Position,Overall,Pace,Shooting,Passing,Dribbling,Defending,Physicality
CAM,76,69,71,72,81,59,61
RB,76,70,62,70,73,74,77
CB,76,54,45,69,64,77,74
GK,76,75,75,67,79,41,74
RB,76,78,54,73,81,71,57
RB,76,57,55,72,67,78,63
CM,76,56,68,73,73,73,71
CM,76,67,69,77,79,65,54
CM,76,74,73,68,78,62,54
LM,76,79,70,71,75,37,60
LB,76,87,70,67,78,72,81
LB,76,84,69,71,76,70,76
CM,76,71,76,76,77,64,62
CM,76,62,62,74,75,69,74
CB,76,55,40,51,53,78,81
LB,76,78,54,67,76,73,73
ST,76,68,78,63,73,31,70
CB,76,59,46,71,67,77,72
CM,76,69,58,72,82,72,76
CB,76,47,46,60,59,78,70
CB,76,80,38,67,73,76,74
CDM,76,65,47,65,64,75,76
ST,76,68,76,58,70,41,82
GK,76,75,74,74,76,48,75
LB,76,78,61,73,78,70,79
RB,76,78,61,68,73,74,77
CDM,76,51,49,65,70,74,79
CB,76,77,55,69,69,77,75
RB,76,66,57,66,63,78,73
LW,76,88,75,69,76,28,74
RB,76,84,51,67,71,73,78
RB,76,62,54,70,70,75,66
LB,76,65,56,67,72,77,74
CB,76,64,54,69,68,78,69
CM,76,77,67,77,78,60,60
CB,76,56,42,59,67,80,71
ST,76,77,75,56,73,37,77
LB,76,73,59,74,75,73,64
RB,76,68,74,72,71,74,82
CB,76,32,50,55,56,77,77
CDM,76,65,69,76,75,72,77
LB,76,84,62,71,74,73,68
RM,76,78,74,70,77,45,56
GK,76,75,74,69,76,43,79
RB,76,80,62,69,74,72,74
ST,76,78,80,74,78,52,67
LB,76,79,69,73,76,71,68
CDM,76,57,61,67,69,72,81
ST,76,78,76,66,78,31,63
CB,76,49,35,52,54,76,86
CM,76,68,74,75,75,66,56
ST,76,63,75,64,71,45,79
CB,76,72,37,64,65,76,79
CM,76,69,69,71,72,73,80
RW,76,82,70,71,78,61,69
ST,76,82,75,62,71,41,81
ST,76,75,77,57,73,41,76
ST,76,82,74,66,82,43,66
CDM,76,70,49,68,72,76,80
CM,76,62,70,77,83,68,68
CM,76,67,71,74,77,66,69
CB,76,72,39,51,64,77,80
CB,76,68,42,62,63,76,76
CB,76,49,41,57,60,76,80
ST,76,79,74,58,78,25,66
CM,76,69,64,68,72,54,71
ST,76,74,76,73,78,39,79
GK,76,76,75,77,75,47,74
RB,76,80,55,69,74,72,65
GK,76,82,74,62,78,50,73
ST,76,60,77,59,65,45,82
RB,76,93,58,63,78,68,82
CB,76,39,50,61,66,77,75
CB,76,65,53,64,67,77,71
CDM,76,71,59,68,74,76,79
CM,76,65,69,71,73,75,75
CB,76,70,53,69,73,76,77
LB,76,77,67,70,77,72,73
CB,76,70,43,51,64,75,84
RM,76,80,74,70,80,37,63
CM,76,35,65,75,74,72,67
CAM,76,67,70,73,76,43,56
LW,76,82,74,70,79,41,72
RM,76,82,77,73,76,56,76
CM,76,70,62,74,76,75,76
CM,76,64,73,70,73,75,80
CB,76,53,53,62,57,77,79
CB,76,78,36,64,74,76,74
ST,76,81,76,69,75,25,79
RB,76,72,73,76,74,73,72
CB,76,41,36,55,55,78,77
GK,76,75,75,77,74,45,77
GK,76,76,75,69,77,30,76
ST,76,72,76,64,70,35,77
CB,76,71,27,59,61,76,74
GK,76,75,71,80,81,52,76
CM,76,79,73,76,76,71,72
ST,76,73,75,54,69,37,86
CB,76,68,37,57,61,76,82
RW,76,64,72,74,84,36,50
