Position,Overall,Pace,Shooting,Passing,Dribbling,Defending,Physicality
RM,82,74,79,79,82,70,82
ST,82,84,81,71,86,31,66
ST,82,79,82,73,74,38,82
CM,82,66,81,81,80,72,65
RB,82,76,60,75,74,82,74
LW,82,81,80,78,84,41,66
CB,82,71,45,56,64,83,85
CM,82,68,77,80,82,78,85
CDM,82,70,80,79,81,77,80
ST,82,64,82,62,73,28,88
RB,82,85,67,75,78,78,71
LW,82,88,72,77,84,30,53
CAM,82,57,82,83,79,55,68
GK,82,84,80,74,82,40,86
ST,82,90,80,72,78,46,86
RM,82,80,77,82,84,53,56
LB,82,73,52,71,72,81,74
ST,82,77,83,81,82,42,63
RM,82,88,75,78,82,44,65
CDM,82,62,71,80,77,79,82
CM,82,51,76,77,78,78,81
RB,82,76,52,79,76,79,72
GK,82,80,80,82,83,47,82
LB,82,80,57,72,76,80,76
CM,82,80,76,80,84,73,74
GK,82,84,77,77,80,61,84
CM,82,54,76,80,80,75,72
CB,82,73,49,70,67,82,83
GK,82,79,83,80,84,53,81
CAM,82,73,77,80,84,70,82
LM,82,79,69,78,89,32,50
CB,82,51,68,77,74,84,79
ST,82,74,81,71,81,37,76
CM,82,49,75,77,78,80,73
LM,82,79,80,78,81,41,73
CDM,82,61,54,70,75,82,79
RM,82,80,80,80,81,28,69
LB,82,75,57,82,78,81,78
CAM,82,84,79,79,84,43,72
CB,82,54,47,58,61,85,79
CB,82,80,57,76,73,83,84
ST,82,79,82,70,76,36,85
CAM,82,77,83,84,84,64,74
RM,82,79,84,78,83,53,75
ST,82,64,85,78,77,41,75
CB,82,70,51,67,64,83,79
GK,82,82,80,76,84,46,79
LB,82,88,65,74,80,78,80
CB,82,81,45,63,73,81,85
CM,82,72,76,80,86,66,73
CB,82,88,47,64,71,83,81
CDM,82,59,61,78,73,82,84
CB,82,80,63,73,71,82,83
CB,82,73,49,64,69,83,77
RM,82,94,81,72,80,45,84
CAM,81,79,73,76,85,46,56
CDM,81,66,58,69,72,83,87
CB,81,64,49,70,65,83,76
CB,81,69,46,65,67,81,83
ST,81,89,76,73,84,57,81
GK,81,82,77,74,83,55,80
RW,81,76,79,81,83,43,63
ST,81,87,79,77,81,50,71
LB,81,91,48,73,78,75,64
CDM,81,76,76,79,79,78,82
CB,81,76,53,75,77,82,81
CM,81,67,68,80,82,79,76
LM,81,85,75,75,83,64,68
LW,81,91,73,74,81,56,72
CDM,81,37,61,77,78,78,73
LB,81,81,65,80,76,78,70
CDM,81,79,76,79,81,76,71
CM,81,55,74,78,75,78,84
CAM,81,80,80,80,81,43,70
ST,81,92,79,74,85,34,87
GK,81,82,76,77,84,31,81
RB,81,72,62,75,76,80,75
ST,81,82,81,71,78,34,75
CB,81,72,34,65,61,83,73
ST,81,77,80,73,80,53,78
ST,81,44,80,73,73,57,80
CDM,81,75,71,79,82,75,78
CB,81,68,55,78,72,82,79
CB,81,62,46,62,68,85,72
LM,81,86,76,78,82,51,61
LW,81,79,83,79,85,63,71
CB,81,47,39,59,64,84,80
CAM,81,78,81,78,84,49,69
CDM,81,69,68,74,77,78,80
LB,81,69,47,69,78,79,73
CM,81,80,74,78,81,71,71
CDM,81,60,72,76,77,77,74
CM,81,73,75,78,78,77,81
CB,81,65,51,66,72,82,74
LM,81,77,77,80,83,61,68
ST,81,77,82,69,79,31,72
CDM,81,50,77,85,80,73,74
CB,81,72,39,65,72,82,77
CB,81,78,66,72,74,81,80
RB,81,74,54,76,78,79,74
