Position,Overall,Pace,Shooting,Passing,Dribbling,Defending,Physicality
CDM,80,72,65,77,79,77,76
LM,80,89,72,73,87,29,68
CB,80,77,47,55,65,79,82
CB,80,63,47,63,67,79,76
CAM,80,60,76,84,82,68,68
GK,80,77,76,79,78,42,80
CDM,80,66,68,78,83,74,66
CDM,80,37,68,78,76,76,84
CB,80,75,43,65,69,81,80
CAM,80,81,77,79,79,51,67
ST,80,78,79,75,81,38,73
CB,80,47,45,64,59,81,81
CB,80,81,47,64,69,80,78
ST,80,77,81,71,75,51,81
RB,80,63,54,74,73,80,75
CDM,80,70,58,74,76,81,73
LW,80,84,78,76,81,35,68
RB,80,82,57,72,76,75,78
GK,80,80,80,66,83,32,80
ST,80,74,80,71,81,46,77
CAM,80,45,79,83,77,60,76
CM,80,75,75,78,79,75,80
RB,80,80,45,66,66,77,66
LM,80,91,79,69,80,35,69
CDM,80,70,66,74,75,76,83
CB,80,34,63,77,75,83,75
RM,80,91,75,71,82,67,84
CDM,80,51,66,72,80,75,83
CM,80,79,68,77,80,75,78
CDM,80,75,67,71,76,77,88
CAM,80,71,77,79,83,46,67
RM,80,74,77,82,80,50,66
CB,80,78,63,74,73,80,82
LM,79,96,73,71,81,34,70
LB,79,76,48,70,65,79,79
CB,79,67,50,64,64,81,75
LB,79,81,56,69,71,78,67
LB,79,84,52,73,82,73,70
CB,79,33,41,62,63,83,67
CDM,79,69,67,74,73,79,77
GK,79,78,77,83,82,40,77
GK,79,80,74,73,83,53,76
ST,79,77,80,65,77,45,85
CB,79,59,55,76,72,81,74
LM,79,74,75,80,78,65,67
RB,79,91,65,72,75,74,81
RW,79,86,71,70,82,33,63
CB,79,64,45,62,68,80,77
CB,79,39,44,59,63,82,73
CM,79,52,73,81,78,73,73
CM,79,75,80,80,81,64,65
CB,79,61,45,71,69,79,86
CB,79,69,56,69,68,81,77
ST,79,84,77,70,85,45,65
GK,79,81,80,79,78,45,77
LB,79,79,68,74,75,77,83
RW,79,72,80,82,79,39,66
LW,79,80,76,74,82,41,70
LB,79,72,69,78,76,76,73
GK,79,79,76,72,80,46,79
CM,79,64,68,73,79,63,74
RB,79,82,55,66,77,78,80
CAM,79,65,78,80,80,70,64
CB,79,71,37,53,59,79,77
ST,79,85,76,57,73,30,80
ST,79,67,78,63,72,45,75
GK,79,79,76,71,81,27,79
LW,79,86,70,79,80,38,47
CM,79,73,79,75,82,59,71
ST,79,84,78,76,83,44,75
RB,79,77,66,71,75,75,76
ST,79,72,79,69,75,42,77
CB,79,65,39,63,53,80,78
CM,79,63,70,79,82,70,67
GK,79,79,78,75,81,39,79
LB,79,76,60,78,77,75,72
CB,79,51,34,60,54,79,79
CDM,79,57,64,79,75,72,69
CM,79,73,72,79,75,77,77
CB,79,62,30,56,63,80,80
CB,79,32,52,69,65,81,79
ST,79,79,77,70,77,43,77
CM,79,74,68,76,76,64,70
CAM,79,69,77,78,81,55,70
CM,79,64,71,75,75,82,83
CB,79,54,46,65,68,82,71
RW,79,84,76,78,81,42,65
CDM,79,65,52,77,71,77,77
CAM,79,66,76,78,80,52,67
ST,79,69,81,72,77,41,79
LB,79,91,60,75,82,72,69
ST,79,81,80,62,77,27,75
LM,79,83,70,73,80,51,66
LB,79,73,68,78,76,76,74
GK,79,78,80,74,79,36,78
CB,79,57,48,60,59,80,81
CB,79,75,43,67,69,79,81
CDM,79,65,57,70,75,76,76
CB,79,41,52,68,65,80,80
ST,79,73,79,67,76,47,75
