Position,Overall,Pace,Shooting,Passing,Dribbling,Defending,Physicality
LM,76,81,74,75,73,63,69
CB,76,53,60,66,63,76,77
ST,76,85,79,59,80,20,64
GK,76,76,76,73,76,35,77
CDM,76,85,62,70,78,76,67
CB,76,49,40,55,62,78,69
RB,76,84,74,70,75,72,68
ST,76,77,76,70,76,39,71
CDM,76,56,65,74,72,72,78
CAM,76,81,69,72,79,47,76
ST,76,91,76,63,75,32,66
CB,76,63,36,50,54,77,79
CB,76,70,44,69,71,76,72
CM,76,65,73,77,76,70,74
ST,76,76,77,66,76,41,76
CDM,76,68,63,69,73,73,70
LM,76,76,73,71,81,46,70
RW,76,91,76,66,79,22,68
RM,76,85,72,67,77,27,75
CB,76,70,49,64,71,76,76
GK,76,76,76,60,78,59,78
LM,76,89,69,70,80,33,61
GK,76,75,76,71,77,39,76
CB,76,79,43,59,67,75,85
LM,76,82,72,73,80,43,42
RB,76,69,37,65,65,78,69
LW,76,88,66,69,77,34,48
CDM,76,67,62,67,68,76,82
RB,76,82,56,70,75,72,79
GK,76,76,76,67,71,43,79
GK,76,74,71,78,78,36,76
CB,76,53,49,65,64,76,78
CDM,76,64,58,71,69,75,77
CB,76,55,50,63,65,76,79
RW,76,87,66,73,77,31,49
ST,76,66,79,69,70,48,84
CB,76,75,36,62,63,76,77
GK,76,77,72,74,75,48,78
CM,76,48,67,73,74,74,81
LM,76,91,71,67,79,35,60
CB,76,77,66,68,77,76,77
LM,76,77,72,71,78,60,64
CB,76,49,39,58,51,77,81
RM,76,85,70,69,79,36,59
ST,76,78,77,70,76,35,69
RB,76,73,47,67,69,75,77
ST,76,90,75,67,74,42,67
CM,76,55,76,74,73,74,73
CB,76,64,35,56,62,78,77
CDM,76,65,56,65,69,76,82
LM,76,82,73,70,77,42,75
RW,76,76,72,72,81,45,62
CM,76,45,72,78,73,69,62
CB,76,63,51,71,65,77,73
RW,76,77,75,76,78,38,58
ST,76,81,76,70,80,32,66
CM,76,51,75,83,69,64,72
CB,76,55,45,58,65,77,77
RB,76,54,49,68,71,79,74
GK,76,78,72,74,81,56,69
CDM,76,75,55,75,77,71,69
CB,76,32,48,63,54,75,83
ST,76,70,78,76,76,46,79
RB,76,75,47,68,74,73,71
CB,76,54,31,61,68,77,76
LW,76,81,72,68,80,34,64
ST,76,54,76,70,76,42,71
GK,76,77,75,69,76,53,75
RB,76,76,33,66,64,72,76
RB,76,74,46,68,73,74,68
ST,76,63,77,64,74,45,72
RB,76,75,51,70,70,73,73
CDM,76,57,60,76,77,70,68
CM,76,46,68,71,71,72,72
ST,76,49,78,61,68,40,79
CM,76,70,65,73,79,70,80
CM,76,78,77,73,78,66,72
GK,76,76,72,81,76,41,73
CM,76,55,71,77,74,69,83
RM,76,83,72,69,76,28,63
CB,75,32,33,57,62,76,78
CDM,75,65,50,69,72,71,75
RM,75,84,72,69,75,41,75
ST,75,79,76,62,74,40,76
ST,75,74,72,53,70,45,80
LB,75,89,60,69,74,70,74
ST,75,76,73,54,70,30,72
RM,75,89,69,67,80,38,58
CDM,75,82,63,67,73,70,76
CAM,75,72,68,74,78,48,65
CM,75,63,57,65,71,74,68
CB,75,75,27,59,65,76,75
LB,75,73,40,62,64,73,73
CM,75,77,71,72,79,59,65
ST,75,93,77,62,77,46,55
CB,75,68,51,64,69,76,77
RM,75,78,68,74,76,55,86
CM,75,72,66,72,79,69,77
CM,75,64,68,75,79,64,63
CAM,75,75,75,75,78,45,72
