Position,Overall,Pace,Shooting,Passing,Dribbling,Defending,Physicality
FW,91,97,90,80,92,36,78
MF,91,66,80,86,84,87,85
MF,91,81,86,86,91,77,75
FW,91,88,92,70,81,45,88
MF,90,80,87,83,88,78,83
MF,90,82,89,90,91,72,78
FW,90,95,84,81,91,29,69
FW,90,89,87,88,90,47,76
MF,90,67,87,94,87,65,78
FW,90,85,88,74,90,42,83
FW,90,65,93,84,83,49,82
MF,89,70,82,89,89,67,66
GK,89,90,84,73,90,52,87
FW,89,93,86,79,89,45,84
GK,89,86,85,85,89,56,90
GK,89,85,89,76,90,46,88
FW,89,74,89,77,86,39,79
FW,89,82,88,75,87,54,85
DF,89,75,73,83,76,90,82
DF,89,78,60,71,71,89,86
GK,89,86,85,89,91,47,86
FW,89,89,87,82,88,45,75
FW,88,86,86,85,90,57,63
FW,88,85,87,77,84,39,74
FW,88,79,85,87,92,33,64
MF,88,84,81,87,91,46,68
FW,88,90,85,81,88,56,79
FW,88,80,88,87,89,59,75
DF,88,67,39,70,69,89,87
FW,88,75,88,79,86,44,84
MF,88,78,82,83,87,85,77
MF,88,88,82,84,84,80,84
GK,88,87,82,91,87,64,86
MF,88,75,78,86,92,71,69
FW,88,82,84,84,88,67,73
DF,88,48,66,71,69,91,84
MF,88,88,80,85,86,60,66
GK,88,85,90,78,87,46,86
DF,88,71,51,67,68,89,84
DF,88,82,55,73,70,86,86
GK,88,87,82,84,90,42,89
MF,88,81,78,87,89,50,67
GK,88,87,86,73,89,44,87
DF,87,82,39,70,74,87,83
FW,87,89,84,65,81,42,82
MF,87,84,81,78,90,63,64
FW,87,85,83,81,88,60,70
FW,87,76,87,75,80,52,90
MF,87,80,85,84,89,41,65
DF,87,95,76,78,84,81,89
DF,87,89,66,82,87,80,65
FW,87,85,79,84,92,37,60
MF,87,73,72,82,79,84,85
MF,87,89,81,80,85,42,71
MF,87,82,69,86,87,77,78
GK,87,84,83,85,88,64,84
MF,87,70,85,88,83,65,75
MF,87,86,79,84,87,45,63
FW,87,87,89,81,85,42,73
DF,87,79,56,75,74,89,81
DF,87,75,43,75,76,87,83
MF,87,62,83,85,87,74,73
FW,87,88,88,63,89,21,70
GK,87,84,82,83,86,56,87
MF,87,81,78,83,86,80,82
GK,87,83,84,85,89,50,86
FW,86,77,88,77,80,34,77
DF,86,69,41,63,61,86,82
MF,86,50,75,85,74,79,82
FW,86,69,86,71,78,32,85
FW,86,89,81,79,88,31,64
DF,86,81,73,85,85,80,72
FW,86,94,79,80,87,28,77
DF,86,82,83,82,87,83,84
MF,86,74,73,88,85,76,71
MF,86,72,76,88,87,71,64
DF,86,87,73,85,82,79,79
MF,86,69,82,85,84,76,76
FW,86,90,76,84,87,63,70
DF,86,81,58,79,81,81,79
GK,86,83,83,83,85,41,85
FW,86,92,75,82,88,41,57
FW,86,89,81,80,87,40,82
MF,86,62,62,76,75,87,89
DF,86,75,72,90,80,80,74
MF,86,77,69,82,88,70,74
MF,86,79,72,82,83,83,79
DF,86,71,38,60,62,86,84
FW,86,77,85,81,84,38,77
DF,86,82,50,58,66,86,85
DF,86,69,74,88,84,81,77
FW,86,88,79,85,85,43,68
GK,86,85,81,78,86,49,85
MF,86,77,84,86,84,63,79
FW,86,87,83,70,82,33,74
GK,86,83,81,90,83,49,88
MF,86,75,84,84,85,52,73
MF,86,76,78,83,88,62,66
MF,86,71,80,87,85,79,76
FW,85,86,79,80,86,41,71
MF,79,79,76,75,80,55,66
MF,79,69,77,80,77,67,76
GK,79,79,77,76,82,52,75
MF,79,77,66,76,83,63,73
FW,79,93,79,71,80,45,76
FW,79,84,70,71,83,41,58
DF,79,56,38,65,60,80,80
MF,79,89,73,74,77,72,81
MF,79,78,73,76,82,58,65
GK,79,79,79,71,81,57,79
MF,79,68,70,77,78,72,71
FW,79,69,80,66,74,43,75
GK,79,79,78,73,81,41,77
DF,79,67,36,56,61,81,83
MF,79,76,73,76,79,38,46
MF,79,82,73,72,79,40,57
MF,79,85,77,73,78,38,66
FW,79,76,77,64,77,47,81
DF,79,88,46,71,77,74,77
MF,79,50,76,77,79,73,84
DF,79,72,46,69,67,80,79
MF,79,81,72,81,80,52,64
MF,79,40,54,68,67,79,81
MF,79,65,65,75,78,75,78
GK,79,79,79,69,81,47,78
GK,79,78,76,80,81,54,79
DF,79,75,63,70,76,76,80
MF,79,85,72,75,79,43,70
MF,79,70,65,75,78,76,75
FW,79,65,81,67,74,36,74
DF,79,69,64,74,69,81,74
FW,79,85,78,63,77,46,78
DF,79,81,53,71,71,78,60
DF,79,80,56,77,80,74,68
DF,79,77,57,70,73,77,83
GK,79,79,76,68,83,51,78
FW,79,80,81,66,79,43,69
MF,79,50,72,71,68,80,83
MF,79,88,65,74,79,76,69
DF,79,83,53,72,77,76,79
MF,79,74,76,76,83,71,69
DF,79,80,37,64,69,79,80
GK,79,80,77,73,83,41,79
FW,79,82,80,75,79,36,72
DF,79,80,60,75,77,76,75
DF,79,78,47,67,76,80,78
MF,79,77,76,75,79,75,81
DF,79,61,52,58,64,81,79
DF,79,82,49,75,76,77,76
DF,79,63,56,76,70,82,74
GK,79,80,74,75,80,44,80
MF,79,82,78,76,81,47,63
MF,79,75,76,76,82,58,72
DF,79,82,51,68,77,77,72
FW,79,84,78,74,79,42,71
MF,79,57,73,86,75,66,72
FW,79,83,78,77,78,45,77
MF,79,54,64,76,75,74,73
FW,79,85,79,70,79,29,71
DF,79,66,54,67,75,80,77
MF,79,80,67,72,76,78,84
DF,79,76,68,74,75,76,70
MF,79,85,71,76,82,25,62
DF,79,66,66,83,82,76,69
FW,79,73,77,72,83,37,73
MF,79,81,72,77,80,75,80
DF,78,92,46,67,72,71,77
FW,78,78,76,65,75,36,77
DF,78,72,35,63,63,78,78
FW,78,83,76,69,82,42,74
DF,78,75,27,47,50,77,88
DF,78,75,30,58,54,79,73
FW,78,87,75,73,80,57,65
MF,78,67,74,80,82,60,69
MF,78,65,69,73,75,74,80
MF,78,74,66,75,77,68,67
FW,78,77,74,72,76,54,82
MF,78,60,65,72,74,78,78
FW,78,75,79,71,77,36,74
MF,78,73,72,76,79,51,69
DF,78,62,47,67,60,78,77
MF,78,69,77,79,79,65,73
DF,78,73,66,76,77,77,71
DF,78,78,52,69,74,75,76
MF,78,53,75,78,77,63,74
DF,78,68,61,71,72,78,75
MF,78,75,75,74,80,62,80
FW,78,89,79,65,79,26,60
FW,78,69,77,58,75,38,80
MF,78,58,56,77,75,76,66
FW,78,73,75,75,82,40,57
DF,78,75,70,70,75,78,77
MF,78,52,72,77,79,71,75
FW,78,71,79,72,75,37,72
MF,78,78,72,79,76,60,64
FW,78,78,73,74,81,38,59
DF,78,77,40,71,65,79,78
MF,78,74,81,77,81,30,69
DF,78,67,50,75,76,80,75
DF,78,69,37,65,69,79,75
FW,78,74,75,68,75,36,77
MF,78,63,73,71,73,79,82
FW,78,59,79,52,74,35,77
MF,78,69,74,80,82,66,66
GK,78,82,75,60,82,46,73
DF,78,42,36,67,63,77,84
DF,78,80,56,69,78,74,73
DF,78,69,65,70,72,78,77
MF,78,75,62,75,79,75,73
MF,78,84,66,71,84,33,49
DF,78,67,50,67,67,78,78
MF,78,76,76,78,78,65,70
MF,78,69,77,74,76,68,64
DF,78,72,43,61,67,78,82
DF,78,65,56,72,73,77,80
DF,78,64,48,56,63,79,74
MF,78,62,76,79,79,69,75
MF,78,67,71,77,78,69,77
GK,78,77,72,74,82,27,77
DF,78,80,26,53,73,77,83
DF,78,65,39,59,48,80,79
GK,78,76,77,78,78,37,79
MF,78,78,64,74,83,40,60
DF,78,58,42,59,65,78,80
DF,78,77,62,75,78,75,61
FW,78,79,79,70,75,40,70
MF,78,78,57,76,79,75,72
MF,78,77,76,78,80,60,68
DF,78,78,56,70,73,73,72
FW,78,80,80,61,74,46,70
MF,78,65,55,74,73,70,75
MF,78,74,71,77,81,53,50
MF,78,50,74,83,76,53,50
DF,78,87,63,68,73,75,82
GK,78,81,73,80,81,35,75
MF,78,69,72,77,78,70,63
MF,78,87,67,71,83,36,50
MF,78,83,71,72,85,67,58
MF,78,69,73,75,77,72,84
DF,78,67,40,60,65,80,75
FW,78,79,76,71,78,54,69
DF,78,90,72,75,76,70,73
MF,78,86,75,72,78,52,71
FW,78,89,77,71,81,35,82
DF,78,62,44,70,70,80,71
MF,78,76,76,79,78,45,52
DF,78,89,49,69,77,71,69
DF,78,75,37,51,61,80,76
FW,78,84,67,77,82,51,54
MF,78,36,63,72,71,79,69
GK,78,80,73,75,81,32,79
MF,78,70,65,72,74,76,75
MF,78,65,72,81,79,68,71
DF,78,76,64,73,78,73,75
MF,78,75,72,77,80,67,70
MF,78,77,80,75,79,45,71
DF,78,69,29,63,69,78,79
MF,78,71,76,77,81,68,73
FW,78,53,79,70,70,42,76
GK,78,78,77,78,78,48,77
MF,78,72,73,80,82,52,50
DF,78,78,58,70,71,74,82
FW,78,61,79,70,75,31,79
GK,78,76,77,76,77,60,78
FW,78,80,74,77,78,57,72
FW,78,80,74,73,81,40,59
GK,78,75,77,72,80,39,78
FW,78,83,77,73,78,42,77
MF,78,63,74,74,74,75,81
MF,78,59,71,78,78,79,74
GK,78,78,77,75,78,47,76
DF,78,70,37,49,56,78,78
MF,78,74,77,80,78,66,69
FW,78,79,76,70,76,46,73
FW,78,85,77,59,74,33,84
FW,78,73,78,74,78,49,74
FW,78,84,77,70,78,39,74
FW,78,62,80,66,74,40,77
FW,78,79,77,79,81,36,44
MF,78,87,69,74,79,58,68
MF,78,78,77,71,80,31,62
MF,78,89,74,72,78,43,59
GK,78,79,79,69,80,41,76
MF,78,54,75,78,75,69,75
DF,78,78,50,68,69,79,74
MF,78,52,66,79,81,64,59
DF,78,81,63,74,76,73,80
FW,78,84,76,58,76,40,75
GK,78,78,77,74,80,39,78
FW,78,76,71,77,80,46,72
FW,78,84,70,74,78,62,73
DF,78,78,52,70,74,78,78
FW,78,77,78,64,70,25,83
FW,78,70,79,76,79,40,79
FW,78,80,76,75,80,35,61
DF,78,68,55,71,70,77,68
