Position,Overall,Pace,Shooting,Passing,Dribbling,Defending,Physicality
CAM,76,75,72,75,81,38,54
CAM,77,75,69,74,81,61,57
CAM,78,74,77,80,78,66,69
CAM,77,82,78,73,76,32,72
CAM,82,73,77,80,84,70,82
CAM,76,68,71,76,80,40,50
CAM,85,71,81,86,86,54,63
CAM,81,79,73,80,83,54,63
CAM,75,65,71,76,74,33,50
CAM,77,75,72,73,82,54,57
CAM,82,85,74,78,85,31,56
CAM,77,74,71,74,78,68,56
CAM,76,67,70,73,76,43,56
CAM,87,80,85,84,89,41,65
CAM,82,73,77,81,83,63,60
CAM,80,68,78,81,81,43,50
CAM,77,76,70,75,79,72,69
CAM,75,57,78,72,74,77,82
CAM,79,74,74,80,82,50,66
CAM,84,72,83,84,84,73,69
CAM,78,72,73,80,82,52,50
CAM,79,74,76,76,83,71,69
CAM,79,65,78,80,80,70,64
CAM,79,75,76,76,82,58,72
CAM,81,78,76,79,83,42,65
CAM,77,71,69,78,78,54,66
CAM,84,83,82,80,87,57,72
CAM,75,84,74,70,76,46,64
CAM,77,78,73,74,80,58,69
CAM,90,80,87,83,88,78,83
CAM,78,73,72,76,79,51,69
CAM,77,83,76,75,78,63,67
CAM,79,79,74,75,82,40,64
CAM,78,74,77,72,78,60,64
CAM,75,75,75,75,78,45,72
CAM,80,69,74,81,83,68,71
CAM,83,81,77,80,86,61,71
CAM,78,76,76,78,78,65,70
CAM,75,75,69,71,75,63,64
CAM,78,76,71,75,80,35,61
CAM,77,69,73,79,79,57,58
CAM,76,81,69,72,79,47,76
CAM,82,73,79,81,81,64,72
CAM,77,72,73,77,80,66,70
CAM,76,79,68,74,80,65,66
CAM,79,73,72,74,82,66,67
CAM,79,81,72,81,80,52,64
CAM,77,64,74,77,79,67,68
CAM,75,72,68,74,78,48,65
CAM,77,68,80,76,77,59,76
CAM,80,81,77,79,79,51,67
CAM,77,77,74,76,80,36,49
CAM,82,57,82,83,79,55,68
CAM,82,66,74,82,83,59,59
CAM,76,76,70,77,81,59,67
CAM,87,70,85,88,83,65,75
CAM,85,71,79,85,86,50,70
CAM,84,81,81,81,86,60,67
CAM,77,73,76,77,74,48,75
CAM,77,64,75,77,80,70,77
CAM,77,78,75,70,79,47,62
CAM,78,77,76,78,80,60,68
CAM,79,65,72,81,81,36,61
CAM,77,71,72,78,78,51,53
CAM,83,93,77,77,86,50,54
CAM,86,75,84,84,85,52,73
CAM,77,62,76,79,81,41,54
